depth_cm;mean_age;sd_age
208;2848.01948;240.4525183
209;2865.71218;245.6995693
210;2883.40488;251.8627435
211;2913.87008;246.4758258
212;2944.33528;242.1924358
213;2974.80048;239.071896
214;3005.26568;237.160113
215;3035.73088;236.4864036
216;3066.19608;237.0613237
217;3096.66128;238.8758579
218;3127.12648;241.9021124
219;3157.59168;246.0953894
220;3188.05688;251.3972983
221;3193.22812;242.6941755
222;3198.39936;234.9497348
223;3203.5706;228.2615754
224;3208.74184;222.7248742
225;3213.91308;218.4272103
226;3219.08432;215.4427457
227;3224.25556;213.826474
228;3229.4268;213.6094548
229;3234.59804;214.7959291
230;3239.76928;217.3629155
231;3264.83978;208.9183152
232;3289.91028;201.2979821
233;3314.98078;194.5987734
234;3340.05128;188.9187059
235;3365.12178;184.3520058
236;3390.19228;180.9829729
237;3415.26278;178.8792909
238;3440.33328;178.0858073
239;3465.40378;178.6199838
240;3490.47428;180.4700316
241;3493.61588;176.1689996
242;3496.75748;172.1571885
243;3499.89908;168.4552633
244;3503.04068;165.0840724
245;3506.18228;162.0642564
246;3509.32388;159.4157848
247;3512.46548;157.157433
248;3515.60708;155.3062203
249;3518.74868;153.8768417
250;3521.89028;152.8811297
251;3527.02185;148.5959036
252;3532.15342;144.627625
253;3537.28499;141.0030563
254;3542.41656;137.749332
255;3547.54813;134.8932899
256;3552.6797;132.4606562
257;3557.81127;130.4751158
258;3562.94284;128.9573218
259;3568.07441;127.9239245
260;3573.20598;127.3867131
261;3578.57308;124.015342
262;3583.94018;121.053464
263;3589.30728;118.5317804
264;3594.67438;116.4788842
265;3600.04148;114.9199012
266;3605.40858;113.8751185
267;3610.77568;113.3587547
268;3616.14278;113.3780297
269;3621.50988;113.9326717
270;3626.87698;115.0149358
271;3636.6304;114.3657771
272;3646.38382;114.0421514
273;3656.13724;114.0468299
274;3665.89066;114.3797723
275;3675.64408;115.0381286
276;3685.3975;116.0163589
277;3695.15092;117.3064612
278;3704.90434;118.8982841
279;3714.65776;120.7798985
280;3724.41118;122.9379989
281;3731.36201;122.0898005
282;3738.31284;121.5502389
283;3745.26367;121.323432
284;3752.2145;121.4111326
285;3759.16533;121.8126613
286;3766.11616;122.5249328
287;3773.06699;123.5425726
288;3780.01782;124.8581144
289;3786.96865;126.4622615
290;3793.91948;128.3441928
291;3828.96848;127.3913925
292;3864.01748;127.4632725
293;3899.06648;128.558114
294;3934.11548;130.6502023
295;3969.16448;133.6927295
296;4004.21348;137.6226739
297;4039.26248;142.3665645
298;4074.31148;147.8460716
299;4109.36048;153.9826839
300;4144.40948;160.7011415
301;4145.387923;159.8175648
302;4146.366366;159.9630708
303;4147.344809;161.1348717
304;4148.323252;163.3108773
305;4149.301695;166.4517085
306;4150.280138;170.504055
307;4151.258581;175.4047523
308;4152.237024;181.0849369
309;4153.215467;187.4737702
310;4154.19391;194.5014332
311;4156.00775;193.0119732
312;4157.82159;192.2323519
313;4159.63543;192.1712088
314;4161.44927;192.8292274
315;4163.26311;194.1990974
316;4165.07695;196.2659139
317;4166.89079;199.0079635
318;4168.70463;202.3978043
319;4170.51847;206.4035219
320;4172.33231;210.9900415
321;4181.95645;209.9599594
322;4191.58059;209.5971367
323;4201.20473;209.9050335
324;4210.82887;210.8807118
325;4220.45301;212.5149745
326;4230.07715;214.7927893
327;4239.70129;217.6939561
328;4249.32543;221.1939486
329;4258.94957;225.2648562
330;4268.57371;229.8763498
